SampleID,pub_ID,author,year,sp_name,clone.strain,polymer,size_um_mean,size_um_SD,size_nm_mean,size_nm_SD,shape,modified,mod_type,surface_charge,company,MP_comments,age_d,generation,food_present,temperature,pH,DOM_added,DOM_conditioned,DOM_cond_dur_h,DOM_conc_mg_L,DOM_type,DOM_comment,DOM_type_grouped,exp_time_h,exp_time_d,conc_p_ml-1,conc_mg_ml-1,conc_mg_l-1,c_n_replicates,c_ind_per_replicate,c_n_individuals,c_mean,c_SD,c_SE,c_immobile,c_mobile,t_n_replicates,t_ind_per_replicate,t_n_individuals,t_mean,t_SD,t_SE,t_immobile,t_mobile,data_comment
1,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,168,10.87,river_water_upstream,,stream water,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.468,NA,NA,NA,NA,"Data extracted from Fig. S7 A1; control from Fig. 1A - calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
2,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,168,10.87,river_water_upstream,,stream water,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.332,NA,NA,NA,NA,"Data extracted from Fig. S7 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
3,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,168,10.87,river_water_upstream,,stream water,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.198,NA,NA,NA,NA,"Data extracted from Fig. S7 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
4,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,168,10.87,river_water_upstream,,stream water,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.448,NA,NA,NA,NA,"Data extracted from Fig. S7 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
5,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.61,no,yes,168,10.87,river_water_upstream,,stream water,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.194,NA,NA,NA,NA,"Data extracted from Fig. S7 A1; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
6,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.41,no,yes,336,24.17,river_water_upstream,,stream water,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.26,NA,NA,NA,NA,"Data extracted from Fig. S7 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
7,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.41,no,yes,336,24.17,river_water_upstream,,stream water,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.132,NA,NA,NA,NA,"Data extracted from Fig. S7 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
8,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.41,no,yes,336,24.17,river_water_upstream,,stream water,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.46,NA,NA,NA,NA,"Data extracted from Fig. S7 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
9,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.41,no,yes,336,24.17,river_water_upstream,,stream water,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.132,NA,NA,NA,NA,"Data extracted from Fig. S7 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
10,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.41,no,yes,336,24.17,river_water_upstream,,stream water,72,3,17100,NA,200,3,5,15,0.338,NA,NA,NA,NA,3,5,15,0.057,NA,NA,NA,NA,"Data extracted from Fig. S7 A2; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
11,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.46,no,yes,504,21.75,river_water_upstream,,stream water,72,3,854,NA,10,3,5,15,0.14,NA,NA,NA,NA,3,5,15,0.268,NA,NA,NA,NA,"Data extracted from Fig. S7 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
12,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.46,no,yes,504,21.75,river_water_upstream,,stream water,72,3,2130,NA,25,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.198,NA,NA,NA,NA,"Data extracted from Fig. S7 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
13,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.46,no,yes,504,21.75,river_water_upstream,,stream water,72,3,4270,NA,50,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.263,NA,NA,NA,NA,"Data extracted from Fig. S7 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
14,Amariei2022,Amariei,2022,Daphnia magna,"Laboratory of Aquatic Ecology and Water Quality Managment (Wageningen University, Netherlands)",PE,30,NA,30000,NA,fragment,no,NA,NA,Sigma Aldrich,size of particles is mean (10-50µm),10,0,yes,21,8.46,no,yes,504,21.75,river_water_upstream,,stream water,72,3,8570,NA,100,3,5,15,0.19,NA,NA,NA,NA,3,5,15,0.258,NA,NA,NA,NA,"Data extracted from Fig. S7 A3; control from Fig. 1A- calculated from the 3rd day (1-(mean of 3rd day / 5)), DOC conc. from S13D"
